,b0,alpha,iota,sigmaSE,br,N,mu_EI,mu_IR,rho_Y,S_0,E_0,I_0,R_0,eta,od_Y,rho_V,sd_V,loglik,loglik.se
1,0.161056888,1.099328242,0.592562163,1.133180123,9.80230854,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8145305,0.016031923
2,0.184287673,1.076521324,0.699175726,1.119360334,10.26647563,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8116758,0.018055698
3,0.136777549,1.139937766,0.49498299,1.15548135,6.873113679,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7810921,0.024332062
4,0.160682398,1.101567334,1.141152975,1.136391818,10.60422457,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8123071,0.025794224
5,0.150494985,1.118395567,0.368151674,1.125035012,8.561755535,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7595477,0.018325272
6,0.145067942,1.128007097,0.486945311,1.136785814,8.323649547,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7546055,0.02709142
7,0.151061345,1.124078354,0.06377186,1.155106965,8.5150776,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7798306,0.020389226
8,0.142102264,1.132087462,0.260621901,1.13128497,7.874289179,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7756597,0.016424776
9,0.153372244,1.119844828,0.143845582,1.10150065,8.416233582,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.781857,0.018224124
10,0.131918083,1.148442168,0.955066945,1.129170397,6.576098931,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8085947,0.01912788
11,0.169084738,1.092752237,1.165957585,1.124950694,9.73438225,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7721456,0.018740688
12,0.184834361,1.080813775,0.191325591,1.118726697,8.100108599,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7866095,0.026567306
13,0.142146196,1.128351793,0.862823517,1.102331594,10.76423841,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7882782,0.017357158
14,0.132335175,1.150953341,0.394973498,1.118013676,6.790606131,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.743284,0.010128257
15,0.157543467,1.101900104,1.605766719,1.133431035,9.88196257,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.823252,0.016493752
16,0.173424476,1.08751567,0.487292257,1.124152326,9.095912351,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7946024,0.023410086
17,0.118254135,1.170646297,0.510678909,1.147262684,7.204093206,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7825386,0.017821007
18,0.195521008,1.064276855,0.909693573,1.134037302,11.37326603,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7879845,0.0180452
19,0.166250362,1.094959461,1.1984401,1.134636726,9.049367387,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8788959,0.021919954
20,0.156370118,1.112293376,0.289025143,1.142741111,9.026593483,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8065625,0.021939342
