X1,b0,rho_V,sd_V,alpha,iota,sigmaSE,br,N,mu_EI,mu_IR,rho_Y,S_0,E_0,I_0,R_0,eta,od_Y,loglik,loglik.se
NA,0.19,158.90518244461998,3759.412914600548,1.069724464162554,4.267909500264594,1.1795078949847746,7.677850176786629,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-760.5177850498618,0.7003094221826245
NA,0.32511675181607,153.16186174948356,3509.793855733586,0.9453131910541285,0.6289878980713446,1.04,24.659333542897084,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-760.5421480597092,1.2161016986274507
NA,0.255,146.16242733962287,3271.383114353976,1.0169585447052134,1.8294868170443264,1.1738108414878108,11.679317627528357,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-760.8372115118705,0.17250361537623185
NA,0.39633065961575886,158.05004322091628,3436.8956419189985,0.9003566473423896,2.669608143213346,1.1593864070183788,17.429499748272033,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-760.8395168415977,0.7337692350571314
1,0.231309663,149.717552,3255.721948,1.031384089,0.2,1.11074475,10.17681175,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.8447938,0.090392048
NA,0.16038116374643901,149.50000000000006,3394.146630675413,1.1044966294495953,6.577230744015142,1.1287939864046364,10.50012988118864,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-760.8484354762159,0.2644585716013348
22,0.152434268,152.0649623,3546.323699,1.124154494,1.244592934,1.189101741,6.669506265,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.8514086,0.079383727
NA,0.17687842838749573,147.82573521695858,3170.015234601688,1.0667441460923641,2,1.19303232641888,17.859363471220746,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-760.861867699104,0.3832218102156124
NA,0.24400465093803722,153.66937554452463,3512.4459467443403,1.0314115921668707,1.32,1.2091916031143155,8.77099466078339,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-760.8680243051424,0.17502391763376735
3,0.238551033,149.7553679,3419.389364,1.034882433,1.494469823,1.146712208,7.379281927,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.8786539,0.062760449
NA,0.17839540008372995,146.50000000000003,3297.598546160636,1.080289467484006,9.070878026201315,1.227103246728785,11.953649055090613,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-760.8992671160672,0.26924447810427554
7,0.157299718,149.0044441,3385.964117,1.127264985,0.431247585,1.201524646,7.549440856,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.9001678,0.041134988
17,0.185966274,151.2633067,3553.746801,1.095915177,0.229322299,1.203270388,4.351538268,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.9024936,0.046781043
NA,0.10143493562146175,146,3319.353865855438,1.2119553306229236,7.746016966554236,1.2708550148362066,6.3619859205643765,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-760.9245174521942,0.17959571696375393
18,0.21945003,150.8477745,3580.030489,1.03701693,0.359018961,1.186771151,11.85647876,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.9284649,0.058360739
21,0.293751961,148.0778293,3432.13131,0.982430053,0.16967593,1.175045365,13.17144149,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.9285528,0.041903358
17,0.185167287,156.2916677,3742.999119,1.07447451,0.474927281,1.117874609,6.350202998,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.9292242,0.315814133
28,0.207844321,152.0245885,3595.351931,1.060268707,0.856346368,1.137462797,9.226693906,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.9306823,0.047656914
NA,0.15999999999999998,150.9215756353081,3309.3916140415768,1.1081933476117136,4.816421279795877,1.2775913684085727,4.833079237456832,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-760.9307791375717,0.1378586787353466
NA,0.31901535342865317,160.4965892451909,3328.9289544208555,0.9454310090801948,0.7954236345284026,1.1746806263881924,14.187506429699674,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-760.9375471580421,1.2745381984724575
NA,0.11262836636822568,145.50000000000003,3286.683311952911,1.1904438603400018,0.5131484729416049,1.2000152905546289,8.051436768575297,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-760.9418688964543,0.09562052214145533
14,0.201057343,151.3322987,3606.227694,1.079049925,1.091928945,1.189370774,6.182649514,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.9421915,0.039293373
33,0.219183968,151.4823003,3493.9163,1.04681297,0.568626443,1.165631084,9.766762652,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.9464809,0.036158326
NA,0.14545882610060115,147.50000000000006,3352.460810010186,1.1324360644681994,1.5232682853446005,1.2377996773429265,11.47834293028992,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-760.9476387219534,0.2263972391678706
15,0.166038856,151.6510692,3639.03075,1.115736134,0.315145718,1.182492731,3.990336683,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.9476418,0.052490506
NA,0.33644062349894877,146,3219.252890860668,0.9538470989413852,4.489351639057432,1.2738021008404992,15.702744663599326,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-760.9503827298298,0.2048351438390356
23,0.173648383,152.9383493,3509.658136,1.097443293,0.825315094,1.219553339,8.79185241,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.9526596,0.047414964
20,0.218875724,157.3625498,3688.05107,1.046228462,0.295140036,1.233439301,10.62950528,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.9528949,0.162513022
21,0.341294497,151.2339601,3594.449444,0.9619271,0.276733825,1.183337175,9.919599954,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.9532051,0.039532672
32,0.407687355,149.7918756,3489.766167,0.927920971,0.798019179,1.171180991,11.22306757,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.9607798,0.042972568
51,0.153319967,156.8766289,3831.775971,1.127805561,2.073217979,1.169417779,4.232747239,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.9607896,0.052790943
